service_id,date,exception_type
Daily-3,20231130,2
ExSun-1,20231225,2
ExSun-1,20231226,2
ExSun-1,20240101,2
ExSun-1,20240102,2
FriSat-1,20231202,2
FriSat-1,20231216,2
FriSat-3,20231227,1
FriSat-3,20231228,1
FriSat-3,20240103,1
FriSat-3,20240104,1
Friday-2,20231229,2
Friday-2,20240105,2
Friday-3,20231213,1
Friday-3,20231214,1
Friday-3,20231218,1
Friday-3,20231219,1
Friday-3,20231220,1
Friday-3,20231221,1
Friday-3,20231229,2
Friday-3,20240105,2
Other-1,20231202,1
Other-1,20231216,1
Other-1,20231217,1
Other-10,20231130,1
Other-10,20231202,1
Other-10,20231204,1
Other-10,20231205,1
Other-10,20231206,1
Other-10,20231207,1
Other-10,20231211,1
Other-10,20231212,1
Other-10,20231213,1
Other-10,20231214,1
Other-10,20231216,1
Other-10,20231217,1
Other-11,20231221,1
Other-11,20231222,1
Other-11,20231227,1
Other-11,20231228,1
Other-11,20231229,1
Other-11,20240103,1
Other-11,20240104,1
Other-11,20240105,1
Other-11,20240108,1
Other-11,20240109,1
Other-12,20231210,1
Other-12,20231217,1
Other-13,20231208,1
Other-13,20231215,1
Other-13,20231222,1
Other-14,20231203,1
Other-14,20231210,1
Other-14,20231217,1
Other-15,20240105,1
Other-16,20231201,1
Other-16,20231224,1
Other-16,20231226,1
Other-16,20231227,1
Other-16,20231228,1
Other-16,20231229,1
Other-16,20231230,1
Other-16,20231231,1
Other-16,20240101,1
Other-16,20240102,1
Other-16,20240103,1
Other-16,20240105,1
Other-16,20240106,1
Other-16,20240107,1
Other-17,20231226,1
Other-17,20231227,1
Other-17,20231228,1
Other-17,20231229,1
Other-17,20231230,1
Other-17,20231231,1
Other-17,20240101,1
Other-17,20240102,1
Other-17,20240106,1
Other-17,20240107,1
Other-18,20231224,1
Other-18,20231226,1
Other-18,20231227,1
Other-18,20231228,1
Other-18,20231229,1
Other-18,20231230,1
Other-18,20231231,1
Other-18,20240101,1
Other-18,20240102,1
Other-18,20240103,1
Other-18,20240105,1
Other-18,20240106,1
Other-18,20240107,1
Other-19,20231203,1
Other-19,20231226,1
Other-19,20231227,1
Other-19,20231228,1
Other-19,20231229,1
Other-19,20231230,1
Other-19,20231231,1
Other-19,20240101,1
Other-19,20240102,1
Other-19,20240106,1
Other-19,20240107,1
Other-2,20231202,1
Other-2,20231216,1
Other-20,20231201,1
Other-20,20240105,1
Other-21,20231203,1
Other-21,20231209,1
Other-21,20231210,1
Other-21,20231223,1
Other-21,20231224,1
Other-21,20231225,1
Other-22,20231209,1
Other-23,20231203,1
Other-23,20231210,1
Other-23,20231223,1
Other-23,20231224,1
Other-23,20231225,1
Other-24,20231223,1
Other-25,20231209,1
Other-25,20231223,1
Other-26,20231203,1
Other-26,20231210,1
Other-26,20231224,1
Other-26,20231225,1
Other-27,20231213,1
Other-27,20231214,1
Other-27,20231218,1
Other-27,20231219,1
Other-27,20231220,1
Other-27,20231221,1
Other-28,20231217,1
Other-29,20231130,1
Other-29,20231204,1
Other-29,20231205,1
Other-29,20231206,1
Other-29,20231207,1
Other-29,20231211,1
Other-29,20231212,1
Other-3,20231130,1
Other-3,20231204,1
Other-3,20231205,1
Other-3,20231206,1
Other-3,20231207,1
Other-30,20231218,1
Other-30,20231219,1
Other-30,20231220,1
Other-30,20231221,1
Other-30,20231222,1
Other-30,20240108,1
Other-30,20240109,1
Other-4,20231201,1
Other-4,20231202,1
Other-4,20231216,1
Other-4,20231217,1
Other-5,20231201,1
Other-5,20231202,1
Other-5,20231216,1
Other-6,20231201,1
Other-7,20231202,1
Other-7,20231211,1
Other-7,20231212,1
Other-7,20231213,1
Other-7,20231214,1
Other-7,20231216,1
Other-7,20231217,1
Other-8,20231130,1
Other-8,20231201,1
Other-8,20231202,1
Other-8,20231204,1
Other-8,20231205,1
Other-8,20231206,1
Other-8,20231207,1
Other-8,20231211,1
Other-8,20231212,1
Other-8,20231213,1
Other-8,20231214,1
Other-8,20231216,1
Other-8,20231217,1
Other-9,20231130,1
Other-9,20231201,1
Other-9,20231202,1
Other-9,20231204,1
Other-9,20231205,1
Other-9,20231206,1
Other-9,20231207,1
Other-9,20231211,1
Other-9,20231212,1
Other-9,20231213,1
Other-9,20231214,1
Other-9,20231216,1
Saturday-2,20231202,2
Saturday-2,20231216,2
Saturday-3,20231227,1
Saturday-3,20231228,1
Saturday-3,20231229,1
Saturday-3,20240103,1
Saturday-3,20240104,1
